titre,date_affichée,date_debut,date_fin,description,lieu_nom,lieu_adresse,image_url,event_link,genre
La Revue 2024,dim. 1 - mar. 31 déc.,2024-12-01T16:00:00+01:00,2024-12-31T16:00:00+01:00,"La Revue genevoise revient du jeudi 10 octobre au 31 décembre 2024 au Casino-Théâtre. 
Embarquez sur la bateau ""La Revue"" pour une croisière d'exception ! Chants, danse et sketchs vous attendent telle une comédie musicale. 
Retrouvez sur scène Claude-Inga Barbey, Laurent Deshusses, Jade Amstel, Frank Arnaudon, Isabelle Caillat, Nelson Duborgel, Gloria Grossrieder, Jean-Philippe Meyer, Christian Savary, Virginia Sirolli, Molly Hirt, Rebecca Figuigui, Léa Jeambrun, Jonathan Lazzarotto, Danielle Lyard et Alessio Urzetta.",Casino Théâtre,Casino Théâtre - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/a0b91c20-48e6-43be-9f28-f0dffae23e30.jpg?1733236224,https://infomaniak.events/fr-ch/culture-et-spectacles/la-revue-2024/6ymuUhyLUyA6dKWsyTcf0d1IvPut,N/A
Hameau du Père Noël,dim. 1 déc. 2024 - dim. 5 janv. 2025,2024-12-01T17:40:00+01:00,2025-01-05T10:00:00+01:00,"Billet valable uniquement pour le Hameau du Père Noël sur la date indiquée et le créneau d'arrivée choisi à la réservation devra être respecté, sans quoi l'accès pourra vous être refusé ou retardé. Durée moyenne de visite :
Grand Parc de Noël : 3h30
Hameau du Père Noël : 1h30
Informations pratiques : Hameau du Père Noël ou Grand Parc de Noël  
 
Visiteurs PMR : Votre billet ne sera validé sur le site à l’accueil qu’en présence de la carte CMI 'INVALIDITE'  et d’identité.Voir conditions sur notre site internet  ""Visiteurs en situation de handicap""",Hameau du Père Noël,Hameau du Père Noël - Saint-Blaise,https://etickets.storage5.infomaniak.com/events/thumbnail/e40a12a3-c63e-47f2-9a6a-42c4abca97d4.jpg?1733174104,https://infomaniak.events/fr-ch/famille/hameau-du-pere-noel/AQOentB94pGA4KrcLqN7ol2BcUtu,N/A
La collection – La soirée diapo et le roman photo,mar. 3 déc. - sam. 14 déc.,2024-12-03T19:00:00+01:00,2024-12-14T19:00:00+01:00,"Très actif sur les scènes romandes, notamment dans le registre contemporain-drôlatique, le Collectif BPM ajoute le Carrousel à diapositives et le Roman-photo au cycle de ses pièces vintages. Le trio décalé y narre l’histoire insolite d’objets désuets, comme autant d’abracadabrantes reliques de notre passé immédiat. Si loin, si proches, ces trophées has-been des années 80 et 90 nous rappellent non sans tendresse et amusement les soirées soporifiques en famille, quand le carrousel grippé du projecteur s’acharnait sur une énième image de tonton au camping, ou quand les sourires figés des stars de romans-photos ornaient encore le kiosque du coin de la rue. Mine de rien, l’alliage BPM – exacerbé par les dérapages hilarants de leurs micro-fictions nostalgi-comiques – fait réfléchir autant que rire.",Maison Saint-Gervais,Maison Saint-Gervais - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/f1f2f03b-7916-4d4d-b1c5-1ea0428b0fe0.jpg?1733235306,https://infomaniak.events/fr-ch/theatre/la-collection-la-soiree-diapo-et-le-roman-photo/4f2v0BLZwjS8c5jhdut4911a20Y2,N/A
Récital de piano  Xiaomu Yuan,Dans 3 heures,2024-12-03T19:00:00+01:00,2024-12-03T19:00:00+01:00,"



Nous avons le plaisir de vous inviter à une soirée de piano exceptionnelle à Genève. Le programme commence avec le Piano Sonata in B-flat Major KV 333 de Wolfgang Amadeus Mozart. Il est suivi d'une sélection de chefs-d'œuvre de Frédéric Chopin, dont son Scherzo Op.31, sa Sonate Op.35 et l'Andante Spianato et Grande Polonaise Op.22. Le récital se conclut avec la Fantaisie Op.17 de Robert Schumann, une œuvre d'une profonde intensité émotionnelle et l'une de mes préférées. Rejoignez-nous pour un voyage captivant à travers les époques baroque et romantique, mettant en lumière à la fois la virtuosité technique et l'expressivité de l'interprétation.
 




Xiaomu Yuan – Pianiste (Cliquez pour voir l'extrait du concert.)
Xiaomu Yuan est une pianiste accomplie, renommée pour son parcours diversifié dans la performance pianistique. Son voyage musical s'étend sur trois continents, commençant en Chine et se poursuivant aux États-Unis et en Europe. Elle a débuté sa formation en Chine avant de perfectionner son art au Colburn School de Los Angeles. Ses études se sont achevées en Suisse, à la Zürcher Hochschule der Künste et à la Musik Akademie Basel, où elle a obtenu un Master of Arts en interprétation musicale spécialisée.
Xiaomu s'est produite dans certains des lieux les plus prestigieux au monde, notamment le Carnegie Hall à New York, le Victoria Hall à Genève, la Musik Akademie Basel, la Zürcher Hochschule der Künste et le Conservatoire Central de Musique à Pékin. En remportant le premier prix au Concours International de Piano Bradshaw & Buono, elle a démontré un talent exceptionnel et une grande dévotion. Son vaste répertoire, allant des chefs-d'œuvre baroques aux compositions contemporaines, met en lumière sa polyvalence et sa profonde compréhension de styles musicaux divers. Son expérience internationale et sa formation multidisciplinaire ont fait d'elle une artiste captivante qui continue d'enchanter les publics du monde entier avec ses performances.
 
 ",Salle Frank Martin,Salle Frank Martin - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/9dacd38b-5547-4aeb-bce7-5a89280e1452.jpg?1733224502,https://infomaniak.events/fr-ch/musique-classique/recital-de-piano-xiaomu-yuan/8Bmwdh5IsDa3tbDi0f3upF0yWlFJ,Dernière chance
Iris,mar. 26 nov. - mar. 10 déc.,2024-11-26T20:00:00+01:00,2024-12-10T20:00:00+01:00,"Intrigue Iris, quel regard posé sur cette femme ! Entre le vert profond de ses yeux qui invite à la confiance et un passé tumultueux, on ne sait plus quoi penser d’elle. Sept ans après la mort de sa meilleure amie, Marie, elle revient au Bar la Bretelle, où s’était nouée, leur amitié peu commune. Elle y rencontre Noé, le nouveau barman, à qui elle va raconter son histoire. Mort, désir de vengeance, ce thriller psychologique vous emporte dans les liens obscurs qui unissent les êtres humains. Amitié-amour pour certains, pouvoir et obsession pour d’autres. Un verre de sirop de rose à la main, une histoire où les fleurs nous rappellent que les apparences sont souvent trompeuses.
Création de la Compagnie TandemUne pièce crée sur mesure pour le Bar la Bretelle. Une scénographie pour plonger les spectacteur-ices dans l'intrigue. ",Bar La Bretelle,Bar La Bretelle - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/0dbd7c71-78b2-46ac-a8e5-dd711c7b061c.jpg?1733147104,https://infomaniak.events/fr-ch/theatre/iris/9oNwGB2dHta3tbDi0f3upF275SKT,N/A
La Clique du Caustic,mar. 26 nov. 2024 - mar. 28 janv. 2025,2024-11-26T20:00:00+01:00,2025-01-28T20:00:00+01:00,"Le Caustic vous présente sa troupe !
 
Félix Ringaby, le prodige effronté qui délivre ses vannes comme un chirurgien : il a pourtant la tête dans la lune et dans sa tête 6000 pensées abouties et contradictoires qui fusent en même temps pour nous faire éclater de rire.
Fiona, la bitcheuse virtuose qui parle 6 langues, 7 avec le sarcasme qu’elle maitrise parfaitement : elle frappe fort avec des thèmes noirs comme le suicide ou le yoga.
Dos, le psychologue presque parfait qui enchaîne les punchs comme un boxeur dans son prime : il assène ses blagues dans des angles inattendus et n’a pas peur d’être vulnérable.
Neal Maxwell, le chaman funambule qui stupéfie : il nous guide dans le périple étrange et hilarant qu’est une balade dans son cerveau.
 
Ces 4 fantastiques de la vanne, différents mais complémentaires, seront présents en résidence au Caustic et sur les routes à 2, à 3 ou à 4 pour écrire l’histoire de leur ascension... Nous on y croit ! À vous de voir si vous voulez pouvoir dire un jour « j’étais là à leurs débuts ».",Caustic Comedy Club,Caustic Comedy Club - Carouge,https://etickets.storage5.infomaniak.com/events/thumbnail/732357f5-0ead-4929-bbeb-aaa14b811693.jpg?1733087700,https://infomaniak.events/fr-ch/humour-et-comedie/la-clique-du-caustic/6O0ZnXrkyO26dKWsyTcf0d124EwC,N/A
JLG* VS MD** (*Jean-Luc Godard VS **Marguerite Duras),mar. 3 déc. - jeu. 19 déc.,2024-12-03T20:00:00+01:00,2024-12-19T20:00:00+01:00,,Le Grütli centre de production et diffusion des arts vivants,Le Grütli centre de production et diffusion des arts vivants - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/a9b3f0c3-ecac-457a-a186-ac926c57b29c.jpg?1733139031,https://infomaniak.events/fr-ch/theatre/jlg-vs-md-jean-luc-godard-vs-marguerite-duras/5hd03REDwQs3tbDi0f3upF282GzW,N/A
Cirque de Noël - Spectacle de cirque 15h00,dim. 1 déc. 2024 - dim. 5 janv. 2025,2024-12-01T15:00:00+01:00,2025-01-05T15:00:00+01:00,,Cirque de Noel Genève,Cirque de Noel Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/d6bc5d00-5b1f-4640-8bbc-56a85d57abab.jpg?1733151630,https://infomaniak.events/fr-ch/culture-et-spectacles/cirque-de-noel-spectacle-de-cirque-15h00/4Uv9ueTjnIw5cAGhmH6f3v2BclHw,N/A
Cirque de Noël - Spectacle de cirque 18h00,dim. 1 déc. 2024 - sam. 4 janv. 2025,2024-12-01T18:00:00+01:00,2025-01-04T18:00:00+01:00,,Cirque de Noel Genève,Cirque de Noel Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/f3ef3059-36ab-4229-a973-4fc9a632384b.jpg?1733175901,https://infomaniak.events/fr-ch/culture-et-spectacles/cirque-de-noel-spectacle-de-cirque-18h00/5x3qto1biHCAFhz2MhOXxo1K5RzA,N/A
WODOD,sam. 7 déc. - dim. 15 déc.,2024-12-07T11:00:00+01:00,2024-12-15T11:00:00+01:00,Un extraterrestre pose son regard décalé sur les objets de notre quotidien,Thêatre Am Stram Gram,Thêatre Am Stram Gram - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/e0aba8a8-e4bc-49c1-929d-3bebb7ab934b.jpg?1733231702,https://infomaniak.events/fr-ch/theatre/wodod/AL5rNcNQoQE6dKWsyTcf0d1dLT8d,Bientôt complet
